,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
14,Arkansas State NCAA,30,18,12,.600,3.32,-0.72,,9,5,,,,,,,,2206,2061,,,798,1748,.457,159,488,.326,451,655,.689,359,1028,447,265,103,449,580
15,Arkansas NCAA,34,23,11,.676,12.97,6.14,,9,7,,,,,,,,2675,2443,,1365,980,2206,.444,296,808,.366,419,632,.663,485,1266,563,332,147,494,633
16,Army,27,8,19,.296,-22.46,-6.62,,4,8,,,,,,,,1615,1968,,,570,1460,.390,133,413,.322,342,477,.717,254,839,304,207,70,482,589
17,Auburn NCAA,33,29,4,.879,24.60,5.00,,14,2,,,,,,,,2680,2033,,1320,974,2245,.434,234,672,.348,498,766,.650,643,1452,461,327,112,425,628
18,Austin Peay,27,11,16,.407,-7.84,-4.92,,9,9,,,,,,,,1959,2037,,,711,1547,.460,168,491,.342,369,557,.662,348,958,370,186,93,446,463
19,Ball State,27,16,11,.593,1.32,1.84,,10,8,,,,,,,,1798,1760,,,634,1548,.410,147,434,.339,381,583,.654,349,974,321,209,79,377,465
20,Baylor,30,6,24,.200,-5.53,3.58,,0,16,,,,,,,,1846,2099,,,644,1703,.378,163,565,.288,395,602,.656,381,1083,308,217,104,518,612
21,Bethune-Cookman,27,11,16,.407,-12.36,-9.06,,10,9,,,,,,,,1791,1879,,,634,1440,.440,107,366,.292,416,600,.693,284,900,365,214,71,458,501
22,Boise State,29,21,8,.724,2.83,-3.28,,12,4,,,,,,,,1987,1790,,,682,1478,.461,172,468,.368,451,635,.710,324,880,387,277,91,469,586
23,Boston College,27,6,21,.222,-1.24,7.76,,3,15,,,,,,,,1689,1932,,,622,1521,.409,155,462,.335,290,438,.662,312,845,314,260,70,463,527
24,Boston University,27,9,18,.333,-9.37,-6.11,,5,13,,,,,,,,1736,1822,,,608,1476,.412,161,482,.334,359,568,.632,316,962,383,185,52,446,590
25,Bowling Green State,28,18,10,.643,6.83,2.36,,12,6,,,,,,,,1980,1824,,,691,1506,.459,132,406,.325,466,642,.726,287,940,380,252,84,425,560
26,Bradley,29,17,12,.586,6.82,5.13,,11,7,,,,,,,,1824,1775,,,616,1437,.429,173,468,.370,419,606,.691,321,963,337,249,113,490,569
27,Brigham Young,28,12,16,.429,2.50,4.14,,6,8,,,,,,,,2009,2055,,,671,1487,.451,176,474,.371,491,677,.725,288,1014,359,188,87,484,585
28,Brown,26,4,22,.154,-19.23,-7.50,,2,12,,,,,,,,1578,1883,,,550,1350,.407,143,446,.321,335,447,.749,235,758,292,149,46,375,468
29,Bucknell,29,16,13,.552,-5.44,-7.96,,9,3,,,,,,,,1939,1779,,,673,1529,.440,164,511,.321,429,642,.668,341,1050,409,239,117,508,570
30,Buffalo,29,5,24,.172,-15.10,0.47,,1,17,,,,,,,,1709,2141,,,605,1637,.370,148,531,.279,351,522,.672,367,1047,373,191,105,555,551
31,Butler,32,22,10,.688,5.02,1.38,,11,3,,,,,,,,2032,1921,,,690,1569,.440,123,380,.324,529,767,.690,320,1035,440,231,57,467,553
32,Cal Poly,27,11,16,.407,-7.09,-3.93,,6,10,,,,,,,,2293,2298,,,785,1801,.436,255,724,.352,468,639,.732,377,1010,411,222,58,418,511
33,Cal State Fullerton,27,13,14,.481,-8.02,-2.75,,7,9,,,,,,,,1891,1998,,,649,1500,.433,158,461,.343,435,647,.672,329,964,365,180,79,448,518
34,Cal State Northridge,29,17,12,.586,0.73,-1.64,,9,7,,,,,,,,2378,2235,,,856,1828,.468,202,570,.354,464,702,.661,401,1052,515,310,78,530,627
35,UC Irvine,26,6,20,.231,-8.45,-1.66,,2,14,,,,,,,,1692,1821,,,590,1358,.434,177,482,.367,335,480,.698,228,798,346,173,65,434,545
36,UC Santa Barbara,28,15,13,.536,-2.78,-3.20,,12,4,,,,,,,,1971,1942,,,744,1669,.446,124,388,.320,359,559,.642,385,1082,457,236,56,432,465
37,California,33,22,11,.667,12.05,7.84,,8,10,,,,,,,,2406,2267,,,868,2010,.432,117,377,.310,553,824,.671,432,1200,418,278,123,453,604
38,Campbell,27,9,18,.333,-16.19,-7.55,,6,10,,,,,,,,1721,1934,,,625,1458,.429,193,530,.364,278,419,.663,307,893,378,155,78,461,495
39,Canisius,27,15,12,.556,-7.05,-4.79,,11,7,,,,,,,,1918,1979,,,664,1481,.448,153,385,.397,437,623,.701,342,940,420,164,89,428,508
40,Centenary (LA),28,14,14,.500,-10.58,-6.99,,9,7,,,,,,,,1765,1853,,,607,1402,.433,130,395,.329,421,612,.688,,930,294,144,67,415,576
41,Central Connecticut State,32,19,13,.594,-7.44,-10.47,,11,9,,,,,,,,2263,2182,,,824,1834,.449,114,381,.299,501,745,.672,466,1190,435,280,126,521,561
42,Central Florida,29,19,10,.655,-2.12,-5.20,,13,3,,,,,,,,2107,2009,,,762,1640,.465,184,510,.361,399,564,.707,376,1073,419,204,100,501,529
43,Central Michigan,26,10,16,.385,-3.17,0.55,,7,11,,,,,,,,1824,1879,,,616,1419,.434,136,401,.339,456,647,.705,277,902,345,191,83,434,513
44,Charleston Southern,28,12,16,.429,-14.36,-7.89,,4,6,,,,,,,,2022,2149,,,705,1530,.461,115,347,.331,497,715,.695,320,941,354,270,97,534,669
45,Charlotte NCAA,34,23,11,.676,11.29,7.60,,10,6,,,,,,,,2336,2221,,,793,1901,.417,251,672,.374,499,742,.673,463,1227,432,242,95,461,649
46,Chattanooga,28,16,12,.571,-4.28,-5.78,,9,7,,,,,,,,1898,1820,,,670,1543,.434,167,464,.360,391,570,.686,377,1006,371,188,103,423,461
47,Chicago State,27,3,24,.111,-21.54,-0.42,,3,11,,,,,,,,1475,2026,,,552,1594,.346,155,533,.291,216,353,.612,357,900,299,208,77,444,519
48,Cincinnati NCAA,33,27,6,.818,20.13,7.88,,12,4,,,,,,,,2440,2020,,,890,1920,.464,166,508,.327,494,727,.680,476,1290,465,256,152,477,617
49,The Citadel,27,9,18,.333,-18.10,-7.23,,3,13,,,,,,,,1693,1821,,,602,1413,.426,176,510,.345,313,502,.624,286,901,338,200,74,460,547
50,Clemson,35,20,15,.571,13.41,6.56,,5,11,,,,,,,,2508,2263,,,877,1910,.459,233,665,.350,521,840,.620,491,1354,527,227,111,534,668
51,Cleveland State,28,14,14,.500,-1.74,0.26,,6,8,,,,,,,,1978,1996,,,696,1554,.448,137,411,.333,449,697,.644,399,916,359,220,79,499,630
52,Coastal Carolina,27,7,20,.259,-20.39,-8.34,,4,6,,,,,,,,1935,2169,,,698,1620,.431,179,526,.340,360,522,.690,367,893,346,230,53,515,536
53,Colgate,28,14,14,.500,-8.19,-7.33,,7,5,,,,,,,,1826,1799,,,651,1482,.439,114,323,.353,410,643,.638,330,969,339,237,60,483,609
54,College of Charleston NCAA,31,28,3,.903,5.98,-6.63,,16,0,,,,,,,,2258,1834,,,830,1702,.488,140,381,.367,458,649,.706,395,1148,435,283,196,446,510
55,Colorado State,30,19,11,.633,8.68,3.06,,7,7,,,,,,,,2168,1991,,,752,1663,.452,188,543,.346,476,714,.667,329,1043,399,240,122,412,571
56,Colorado,33,18,15,.545,7.25,4.96,,7,9,,,,,,,,2411,2257,,,839,2026,.414,218,633,.344,515,775,.665,424,1251,482,281,126,486,634
57,Columbia,26,10,16,.385,-14.77,-6.89,,5,9,,,,,,,,1520,1692,,,536,1279,.419,135,453,.298,313,499,.627,219,750,309,235,45,373,495
58,Connecticut NCAA,36,34,2,.944,24.73,8.79,,16,2,,,,,,,,2781,2207,,,986,2111,.467,174,506,.344,635,868,.732,503,1451,551,287,151,523,602
59,Coppin State,29,15,14,.517,-6.87,-6.97,,14,4,,,,,,,,1992,1989,,,639,1645,.388,217,590,.368,497,704,.706,400,1063,334,231,80,476,596
60,Cornell,26,11,15,.423,-9.95,-7.83,,6,8,,,,,,,,1667,1710,,,614,1428,.430,141,437,.323,298,474,.629,327,970,310,171,99,407,489
61,Creighton NCAA,31,22,9,.710,12.26,4.87,,11,7,,,,,,,,2357,2128,,,800,1757,.455,236,618,.382,521,730,.714,426,1126,451,286,91,476,598
62,Dartmouth,26,14,12,.538,-10.06,-7.22,,10,4,,,,,,,,1673,1727,,,576,1384,.416,185,504,.367,336,478,.703,275,939,336,150,90,404,419
63,Davidson,27,16,11,.593,-1.47,-5.63,,11,5,,,,,,,,2058,1844,,,739,1594,.464,191,537,.356,389,586,.664,379,1014,452,244,72,452,529
64,Dayton,28,11,17,.393,5.26,5.47,,5,11,,,,,,,,1900,1906,,,637,1611,.395,174,534,.326,452,622,.727,384,1018,355,203,81,440,526
65,Delaware State,27,8,19,.296,-20.11,-11.88,,5,13,,,,,,,,2007,2203,,,669,1593,.420,202,547,.369,453,656,.691,380,963,316,212,94,526,621
66,Delaware NCAA,31,25,6,.806,1.60,-7.92,,15,3,,,,,,,,2394,2099,,,830,1775,.468,207,556,.372,527,726,.726,316,1125,451,234,139,455,536
67,Denver,27,10,17,.370,-10.09,-4.12,,,,,,,,,,,1988,2149,,,709,1691,.419,194,568,.342,376,515,.730,302,1022,407,129,102,413,440
68,DePaul,31,18,13,.581,9.21,8.02,,10,6,,,,,,,,2253,2216,,,812,1898,.428,178,557,.320,451,670,.673,530,1268,401,249,52,469,560
69,Detroit Mercy NCAA,31,25,6,.806,8.10,-0.17,,12,2,,,,,,,,1966,1713,,,677,1550,.437,196,541,.362,416,553,.752,322,1031,392,189,82,388,518
70,Drake,27,10,17,.370,-1.89,5.23,,5,13,,,,,,,,1758,1915,,,588,1466,.401,197,608,.324,385,562,.685,310,910,371,227,30,465,507
71,Drexel,29,20,9,.690,-1.64,-6.78,,15,3,,,,,,,,2036,1887,,,730,1665,.438,178,508,.350,398,605,.658,376,1109,422,159,61,389,559
72,Duke NCAA,39,37,2,.949,34.79,10.12,,16,0,,,,,,,,3581,2619,,,1244,2422,.514,293,739,.396,800,1135,.705,587,1645,633,349,245,572,713
73,Duquesne,28,5,23,.179,-7.30,4.58,,1,15,,,,,,,,1733,2018,,,577,1582,.365,142,480,.296,437,681,.642,402,1052,265,189,108,447,502
74,East Carolina,27,13,14,.481,-3.47,-2.59,,7,9,,,,,,,,1707,1720,,,603,1416,.426,160,446,.359,341,521,.655,311,953,362,138,102,404,471
75,East Tennessee State,28,17,11,.607,-6.66,-6.42,,9,7,,,,,,,,2027,1937,,,722,1548,.466,142,374,.380,441,675,.653,378,1021,421,199,40,446,575
76,Eastern Illinois,29,13,16,.448,-6.90,-3.83,,8,10,,,,,,,,2073,2133,,,746,1732,.431,221,579,.382,360,524,.687,378,1017,444,222,80,418,522
77,Eastern Kentucky,26,3,23,.115,-19.17,-3.01,,2,16,,,,,,,,1702,2104,,,618,1554,.398,159,476,.334,307,474,.648,317,899,310,168,61,444,503
78,Eastern Michigan,25,5,20,.200,-5.79,4.17,,5,13,,,,,,,,1490,1739,,,545,1389,.392,115,391,.294,285,471,.605,356,903,269,203,97,479,517
79,Eastern Washington,27,10,17,.370,-5.30,-0.62,,7,9,,,,,,,,1991,2071,,,714,1682,.424,241,649,.371,322,506,.636,318,993,401,225,81,407,580
80,Evansville NCAA,33,23,10,.697,5.90,3.74,,13,5,,,,,,,,2502,2369,,,879,1739,.505,229,563,.407,515,667,.772,267,1073,568,208,61,521,591
81,Fairfield,27,12,15,.444,-4.70,-1.77,,7,11,,,,,,,,2111,2190,,,728,1714,.425,164,568,.289,491,824,.596,447,1069,370,281,89,527,679
82,Fairleigh Dickinson,28,12,16,.429,-8.53,-6.75,,9,11,,,,,,,,1843,1870,,,628,1455,.432,160,513,.312,427,674,.634,412,1071,354,211,124,553,573
83,Florida A&M NCAA,31,12,19,.387,-14.60,-9.76,,8,11,,,,,,,,2252,2402,,,769,1985,.387,149,530,.281,565,906,.624,566,1354,316,305,92,576,735
84,Florida Atlantic,26,6,20,.231,-15.89,-4.85,,3,13,,,,,,,,1875,2143,,,627,1539,.407,195,592,.329,426,623,.684,317,827,330,272,44,431,574
85,Florida International,29,13,16,.448,0.84,0.91,,7,7,,,,,,,,2011,2013,,,708,1557,.455,212,582,.364,383,569,.673,309,935,413,217,62,474,554
86,Florida State,30,13,17,.433,8.52,11.97,,5,11,,,,,,,,2118,2200,,,765,1721,.445,178,525,.339,410,621,.660,352,967,447,264,86,472,599
87,Florida NCAA,31,22,9,.710,15.76,5.70,,10,6,,,,,,,,2488,2176,,,832,1758,.473,289,762,.379,535,761,.703,358,1108,495,311,119,556,615
88,Fordham,27,12,15,.444,-1.58,1.94,,5,11,,,,,,,,1784,1879,,,604,1480,.408,160,484,.331,416,598,.696,356,924,334,218,56,415,584
89,Fresno State,33,21,12,.636,7.48,3.54,,9,5,,,,,,,,2635,2505,,,980,2129,.460,252,750,.336,423,649,.652,417,1171,600,324,159,489,618
90,Furman,28,12,16,.429,-9.96,-6.46,,5,11,,,,,,,,1878,1942,,,626,1455,.430,143,449,.318,483,723,.668,335,1030,361,179,68,512,552
91,George Mason NCAA,30,19,11,.633,4.57,-0.88,,13,3,,,,,,,,2214,2031,,,826,1813,.456,195,544,.358,367,599,.613,412,1082,398,304,136,444,550
92,George Washington NCAA,29,20,9,.690,11.06,5.54,,13,3,,,,,,,,2305,2145,,,801,1941,.413,181,583,.310,522,722,.723,494,1137,442,306,87,420,651
93,Georgetown,31,15,16,.484,8.15,6.35,,6,12,,,,,,,,2137,2057,,,759,1956,.388,151,499,.303,468,723,.647,578,1336,378,342,191,559,611
94,Georgia Southern,28,11,17,.393,-11.58,-6.71,,6,10,,,,,,,,1793,1862,,,616,1521,.405,203,581,.349,358,523,.685,397,1034,337,159,78,508,577
95,Georgia State,30,17,13,.567,-4.37,-7.54,,11,5,,,,,,,,2199,2089,,,775,1709,.453,167,490,.341,482,681,.708,416,1107,380,242,121,494,572
96,Georgia Tech,31,15,16,.484,4.50,9.37,,6,10,,,,,,,,2087,2238,,,728,1772,.411,219,663,.330,412,663,.621,383,1145,423,190,171,536,508
97,Georgia,30,15,15,.500,8.26,7.26,,6,10,,,,,,,,2148,2118,,,756,1741,.434,243,655,.371,393,572,.687,382,1087,410,190,76,410,580
98,Gonzaga NCAA,35,28,7,.800,15.03,2.21,,12,2,,,,,,,,2743,2280,,,950,2004,.474,291,730,.399,552,761,.725,422,1301,572,289,135,501,642
99,Grambling,27,6,21,.222,-20.28,-9.92,,5,11,,,,,,,,1860,2119,,,662,1560,.424,99,339,.292,437,642,.681,362,988,321,223,92,525,539
100,Green Bay,31,20,11,.645,3.97,-1.06,,9,5,,,,,,,,1922,1736,,,671,1438,.467,219,521,.420,361,518,.697,238,843,444,185,65,388,515
101,Hampton,27,8,19,.296,-14.36,-9.62,,8,10,,,,,,,,1872,2002,,,650,1508,.431,144,414,.348,430,613,.701,352,1032,359,157,156,494,540
102,Hartford,27,11,16,.407,-13.22,-5.81,,9,9,,,,,,,,1853,2053,,,631,1464,.431,121,382,.317,470,665,.707,285,918,316,236,55,513,530
103,Harvard,26,13,13,.500,-8.20,-8.40,,7,7,,,,,,,,1828,1808,,,660,1520,.434,182,483,.377,326,443,.736,288,835,359,195,76,344,484
104,Hawaii,26,6,20,.231,-4.28,3.77,,3,11,,,,,,,,1659,1853,,,638,1385,.461,93,284,.327,290,438,.662,289,792,370,172,112,470,520
105,Hofstra,32,22,10,.688,1.11,-4.06,,14,4,,,,,,,,2132,1933,,,753,1720,.438,194,517,.375,432,627,.689,371,1129,414,221,119,464,536
106,Holy Cross,27,7,20,.259,-17.49,-7.34,,3,9,,,,,,,,1543,1809,,1080,546,1362,.401,131,418,.313,320,492,.650,262,858,311,200,77,455,515
107,Houston,27,10,17,.370,-2.39,5.53,,5,11,,,,,,,,1914,2128,,,676,1635,.413,147,441,.333,415,629,.660,395,1052,292,174,97,487,529
108,Howard,27,2,25,.074,-25.66,-9.15,,2,16,,,,,,,,1643,2091,,,551,1470,.375,151,440,.343,390,593,.658,330,886,312,191,23,556,539
109,Idaho State,26,6,20,.231,-11.37,-1.01,,4,12,,,,,,,,1669,1903,,,615,1459,.422,118,329,.359,321,524,.613,323,915,348,148,60,414,503
110,Idaho,27,16,11,.593,0.10,-1.91,,11,5,,,,,,,,1979,1895,,,677,1585,.427,190,537,.354,435,625,.696,371,992,361,236,56,416,513
111,Illinois-Chicago,28,7,21,.250,-6.88,1.55,,2,12,,,,,,,,1633,1869,,,550,1506,.365,126,395,.319,407,588,.692,366,944,311,196,36,445,561
112,Illinois State,31,16,15,.516,5.80,4.73,,7,11,,,,,,,,2141,2110,,,746,1629,.458,167,444,.376,482,656,.735,305,1051,452,224,115,493,563
113,Illinois,32,14,18,.438,10.60,11.88,,3,13,,,,,,,,1967,2008,,,705,1791,.394,165,477,.346,392,599,.654,459,1182,376,269,107,566,628
114,Indiana State,27,15,12,.556,7.92,3.96,,10,8,,,,,,,,1867,1760,,,667,1524,.438,159,468,.340,374,556,.673,306,941,379,227,100,367,487
115,Indiana NCAA,34,23,11,.676,17.21,11.35,,9,7,,,,,,,,2565,2366,,,922,1965,.469,193,534,.361,528,757,.697,369,1199,563,259,115,507,589
116,Iona,30,16,14,.533,-1.96,-3.24,,12,6,,,,,,,,2287,2230,,,826,1857,.445,144,483,.298,491,751,.654,435,1261,512,243,220,527,615
117,Iowa State,30,15,15,.500,5.46,5.74,,6,10,,,,,,,,1886,1825,,,668,1581,.423,131,403,.325,419,598,.701,335,1073,356,174,77,388,482
118,Iowa NCAA,30,20,10,.667,15.37,11.44,,9,7,,,,,,,,2217,2099,,,741,1602,.463,188,504,.373,547,780,.701,398,1047,455,268,80,532,544
119,IUPUI,27,11,16,.407,-9.72,-4.95,,6,8,,,,,,,,1834,1888,,,632,1493,.423,165,407,.405,405,593,.683,314,881,312,212,47,401,473
120,Jackson State,28,16,12,.571,-12.28,-9.28,,11,5,,,,,,,,1926,1939,,,682,1654,.412,137,436,.314,425,720,.590,429,1149,389,203,130,521,562
121,Jacksonville State,26,8,18,.308,-17.35,-8.14,,3,13,,,,,,,,1647,1837,,,592,1446,.409,149,444,.336,314,491,.640,310,937,314,175,59,440,472
122,Jacksonville,27,12,15,.444,-11.67,-8.17,,7,9,,,,,,,,1771,1820,,,636,1495,.425,123,440,.280,376,547,.687,302,874,339,252,86,482,433
123,James Madison,27,16,11,.593,0.99,-4.56,,9,7,,,,,,,,1937,1785,,,669,1557,.430,182,528,.345,417,627,.665,352,1030,330,151,89,358,474
124,Kansas State,33,20,13,.606,10.31,5.47,,7,9,,,,,,,,2284,2113,,,805,1866,.431,168,497,.338,506,766,.661,453,1402,478,211,146,540,591
125,Kansas NCAA,33,23,10,.697,16.30,9.17,,11,5,,,,,,,,2380,2128,,1330,874,1951,.448,165,483,.342,467,708,.660,461,1350,521,265,142,516,590
126,Kent State NCAA,30,23,7,.767,7.22,2.72,,13,5,,,,,,,,2156,1905,,,782,1754,.446,168,485,.346,424,620,.684,391,1048,461,276,92,418,557
127,Kentucky NCAA,37,28,9,.757,22.71,10.01,,11,5,,,,,,,,2790,2320,,,1034,2163,.478,226,676,.334,496,776,.639,524,1470,605,286,199,547,629
128,La Salle,28,13,15,.464,-0.41,1.92,,8,8,,,,,,,,2023,2088,,,704,1659,.424,218,628,.347,397,582,.682,361,1042,376,139,118,421,491
129,Lafayette NCAA,30,22,8,.733,-2.78,-7.32,,10,2,,,,,,,,2167,1987,,,708,1640,.432,238,700,.340,513,730,.703,322,1072,464,257,124,445,587
130,Lamar,28,17,11,.607,-5.85,-9.73,,11,7,,,,,,,,2144,1979,,,710,1662,.427,190,485,.392,534,723,.739,423,1208,384,191,58,505,572
131,Lehigh,28,6,22,.214,-20.10,-7.71,,0,12,,,,,,,,1765,2025,,,617,1529,.404,101,345,.293,430,633,.679,343,988,368,182,52,482,607
132,Liberty,27,4,23,.148,-24.50,-7.10,,0,10,,,,,,,,1960,2259,,,714,1614,.442,158,440,.359,374,556,.673,340,912,385,268,46,507,584
133,Long Beach State,28,13,15,.464,-4.99,-0.88,,9,7,,,,,,,,1865,1973,,,688,1570,.438,145,435,.333,344,539,.638,317,949,330,203,91,457,565
134,Long Island University,27,10,17,.370,-11.62,-6.69,,10,10,,,,,,,,1828,1961,,,707,1681,.421,125,382,.327,289,508,.569,388,1017,324,245,87,469,527
135,Louisiana,29,13,16,.448,-1.45,-0.52,,7,7,,,,,,,,1951,1993,,,683,1692,.404,135,480,.281,450,755,.596,467,1124,330,192,81,473,604
136,Louisiana-Monroe,27,13,14,.481,-10.13,-5.02,,12,6,,,,,,,,1954,2059,,,699,1673,.418,162,536,.302,394,625,.630,395,1055,357,242,150,550,496
137,Louisiana State,27,12,15,.444,2.71,6.06,,4,12,,,,,,,,1793,1861,,,625,1461,.428,154,451,.341,389,605,.643,345,1071,372,189,102,534,497
138,Louisiana Tech,28,19,9,.679,1.89,-3.47,,10,4,,,,,,,,2133,1984,,,780,1684,.463,191,574,.333,382,523,.730,329,962,410,244,81,424,512
139,Louisville NCAA,30,19,11,.633,15.38,8.28,,11,5,,,,,,,,2306,2093,,,844,1791,.471,192,566,.339,426,628,.678,409,1052,503,281,146,500,642
140,Loyola (IL),27,9,18,.333,-6.47,-0.09,,7,7,,,,,,,,1644,1811,,,598,1479,.404,141,446,.316,307,477,.644,333,896,354,183,52,404,513
141,Loyola Marymount,27,11,16,.407,-5.24,1.80,,6,8,,,,,,,,2054,2197,,,692,1654,.418,221,623,.355,444,606,.733,351,972,386,195,111,436,556
142,Loyola (MD),28,13,15,.464,-4.63,-5.49,,6,12,,,,,,,,2165,2141,,,790,1642,.481,151,422,.358,434,667,.651,379,1062,443,228,84,531,530
143,Maine,28,19,9,.679,-1.78,-8.11,,13,5,,,,,,,,2257,2063,,,804,1706,.471,212,592,.358,437,590,.741,319,985,451,300,87,464,539
144,Manhattan,27,5,22,.185,-13.50,-6.24,,3,15,,,,,,,,1688,1884,,,581,1383,.420,108,341,.317,418,659,.634,334,972,357,184,76,529,583
145,Marist,28,16,12,.571,-4.04,-5.57,,8,10,,,,,,,,2033,1990,,,743,1625,.457,114,357,.319,433,651,.665,353,978,435,241,130,376,521
146,Marquette,29,14,15,.483,5.19,4.98,,6,10,,,,,,,,1823,1817,,,631,1592,.396,188,519,.362,373,563,.663,394,1081,341,205,107,471,515
147,Marshall,27,16,11,.593,4.71,0.51,,11,7,,,,,,,,2075,1906,,1090,760,1656,.459,175,495,.354,380,545,.697,361,1022,422,209,115,393,481
148,Maryland-Baltimore County,28,19,9,.679,-4.41,-8.20,,17,3,,,,,,,,1887,1781,,,663,1469,.451,154,430,.358,407,608,.669,339,1010,402,206,91,486,557
149,Maryland-Eastern Shore,27,10,17,.370,-13.55,-11.00,,7,11,,,,,,,,1909,1978,,,682,1592,.428,151,405,.373,394,604,.652,387,989,291,195,62,419,535
150,Maryland NCAA,34,28,6,.824,26.13,9.04,,13,3,,,,,,,,2873,2259,,,1044,2108,.495,184,504,.365,601,857,.701,461,1343,674,431,202,567,672
151,Massachusetts,30,14,16,.467,6.47,6.04,,9,7,,,,,,,,1929,1916,,,712,1691,.421,145,422,.344,360,601,.599,415,1149,370,166,161,370,600
152,McNeese State,28,13,15,.464,-8.39,-7.21,,11,7,,,,,,,,2093,2126,,,753,1817,.414,201,576,.349,386,610,.633,365,996,429,319,100,422,538
153,Memphis,28,13,15,.464,5.49,5.42,,6,10,,,,,,,,2141,2139,,,782,1764,.443,129,466,.277,448,640,.700,383,1063,387,273,161,515,612
154,Mercer,26,8,18,.308,-17.38,-7.26,,5,11,,,,,,,,1659,1903,,,580,1521,.381,137,479,.286,362,553,.655,353,919,265,193,70,379,472
155,Miami (FL) NCAA,30,23,7,.767,16.80,9.20,,15,3,,,,,,,,2178,1950,,,791,1671,.473,123,369,.333,473,677,.699,389,1180,458,259,158,575,521
156,Miami (OH) NCAA,32,24,8,.750,11.60,4.41,,15,3,,,,,,,,2163,1933,,,767,1710,.449,193,573,.337,436,570,.765,314,1041,387,215,62,381,585
157,Michigan State NCAA,38,33,5,.868,22.64,10.91,,15,1,,,,,,,,2725,2262,,,1020,2152,.474,171,503,.340,514,701,.733,564,1379,569,298,100,533,689
158,Michigan,31,12,19,.387,8.49,11.69,,5,11,,,,,,,,2035,2134,,,685,1626,.421,184,530,.347,481,640,.752,349,1106,339,163,102,469,620
159,Middle Tennessee,31,12,19,.387,-8.81,-4.77,,9,9,,,,,,,,2143,2224,,,765,1653,.463,205,577,.355,408,566,.721,337,970,444,294,103,540,552
160,Milwaukee,27,8,19,.296,-7.01,0.37,,5,9,,,,,,,,1714,1875,,,602,1440,.418,130,401,.324,380,540,.704,294,858,294,166,39,406,522
161,Minnesota NCAA,28,17,11,.607,13.53,9.92,,8,8,,,,,,,,1928,1827,,,714,1576,.453,133,357,.373,367,540,.680,363,1066,427,217,165,412,508
162,Mississippi State,33,20,13,.606,8.76,3.25,,8,8,,,,,,,,2279,2129,,,838,1898,.442,182,596,.305,421,647,.651,465,1332,443,201,119,536,602
