,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
281,Vermont,27,14,13,.519,-8.88,-6.54,,7,11,,,,,,,,1853,1908,,,638,1633,.391,169,543,.311,408,633,.645,374,1040,355,198,116,388,511
282,Villanova NCAA,34,24,10,.706,16.62,9.44,,12,6,,,,,,,,2552,2309,,,892,1931,.462,184,562,.327,584,842,.694,513,1379,516,287,207,555,638
283,Virginia Commonwealth,27,14,13,.519,2.01,-0.14,,9,7,,,,,,,,1910,1852,,,689,1507,.457,160,437,.366,372,571,.651,345,1016,434,186,91,402,463
284,VMI,28,12,16,.429,-11.50,-4.86,,7,7,,,,,,,,2170,2187,,,772,1847,.418,198,577,.343,428,635,.674,384,1031,351,280,77,414,610
285,Virginia Tech,31,15,16,.484,6.37,5.07,,7,9,,,,,,,,1934,1867,,,689,1580,.436,123,354,.347,433,651,.665,348,999,418,230,70,416,533
286,Virginia NCAA,31,18,13,.581,13.84,11.13,,7,9,,,,,,,,2099,2015,,,752,1763,.427,205,566,.362,390,579,.674,398,1148,387,168,133,388,556
287,Wagner,27,10,17,.370,-11.19,-6.78,,7,11,,,,,,,,1952,2071,,,683,1712,.399,152,454,.335,434,598,.726,378,1030,390,222,94,420,555
288,Wake Forest NCAA,31,24,7,.774,20.94,10.27,,11,5,,,,,,,,2138,1807,,,733,1575,.465,202,557,.363,470,681,.690,343,1189,403,129,182,454,457
289,Washington State,30,13,17,.433,8.23,7.89,,5,13,,,,,,,,2244,2223,,,803,1749,.459,193,486,.397,445,659,.675,378,1065,445,203,105,486,628
290,Washington,28,17,11,.607,10.83,8.27,,10,8,,,,,,,,2106,2024,,,739,1530,.483,134,367,.365,494,708,.698,364,1039,473,206,106,576,522
291,Weber State,28,15,13,.536,-3.62,-2.43,,9,7,,,,,,,,2191,2223,,,773,1679,.460,204,546,.374,441,639,.690,344,1007,474,207,57,445,627
292,West Virginia,31,21,10,.677,14.45,7.35,,11,7,,,,,,,,2502,2282,,,940,1982,.474,144,435,.331,478,739,.647,478,1231,529,309,108,480,544
293,Western Carolina,27,14,13,.519,-11.08,-4.46,,7,7,,,,,,,,1990,2011,,,693,1527,.454,113,315,.359,491,671,.732,340,983,377,198,65,479,505
294,Western Illinois,29,19,10,.655,-1.30,-5.71,,11,5,,,,,,,,2191,2014,,,820,1657,.495,186,473,.393,365,585,.624,366,1074,539,208,91,458,507
295,Western Kentucky,27,12,15,.444,-4.67,-1.13,,9,9,,,,,,,,1900,1967,,,679,1592,.427,200,583,.343,342,433,.790,312,847,375,191,58,390,557
296,Western Michigan,28,14,14,.500,-0.40,0.81,,9,9,,,,,,,,1874,1908,,,671,1464,.458,126,323,.390,406,559,.726,277,894,347,201,70,0,526
297,Wichita State,27,14,13,.519,5.89,1.67,,8,10,,,,,,,,1815,1700,,,624,1477,.422,191,556,.344,376,554,.679,367,1008,393,176,43,402,590
298,William & Mary,28,12,16,.429,-3.62,-1.18,,8,8,,,,,,,,1831,1878,,,643,1603,.401,168,530,.317,377,575,.656,379,1006,321,173,90,0,524
299,Winthrop,27,12,15,.444,-15.08,-7.08,,5,9,,,,,,,,1925,1942,,,683,1597,.428,166,509,.326,393,624,.630,356,1044,377,222,110,0,549
300,Wisconsin NCAA,28,18,10,.643,13.20,9.42,,11,7,,,,,,,,1654,1548,,,570,1391,.410,137,406,.337,377,569,.663,320,951,332,187,97,422,564
301,Wofford,27,7,20,.259,-15.42,-4.09,,,,,,,,,,,1754,1988,,,617,1632,.378,189,589,.321,331,525,.630,347,894,308,173,52,0,615
302,Wright State,27,7,20,.259,-6.83,0.29,,5,11,,,,,,,,1763,1910,,,671,1550,.433,164,464,.353,257,362,.710,308,829,368,180,36,0,406
303,Wyoming,28,12,16,.429,2.15,2.71,,8,8,,,,,,,,2023,2029,,,640,1509,.424,171,508,.337,572,776,.737,358,899,330,152,92,0,561
304,Xavier NCAA,29,23,6,.793,16.14,5.28,,13,3,,,,,,,,2413,2098,,1190,838,1717,.488,153,454,.337,584,806,.725,430,1103,532,318,80,556,578
305,Yale,26,10,16,.385,-11.41,-6.73,,3,11,,,,,,,,1640,1732,,,585,1400,.418,144,424,.340,326,496,.657,300,918,309,191,61,0,478
306,Youngstown State,27,9,18,.333,-10.49,-7.10,,4,12,,,,,,,,1713,1778,,,599,1443,.415,157,474,.331,358,520,.688,333,913,326,144,39,0,439
