,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
59,Creighton,26,7,19,.269,-6.82,3.06,,4,14,,,,,,,,1588,1845,,,,.334,.342,.458,51.9,60.5,,6.9,.438,21.2,,.186
60,Dartmouth,26,13,13,.500,-10.95,-8.99,,10,4,,,,,,,,1793,1798,,,,.341,.268,.527,48.5,64.4,,12.6,.494,19.8,,.236
61,Davidson,27,14,13,.519,-5.04,-4.09,,7,7,,,,,,,,2004,1936,,,,.407,.251,.539,52.3,58.0,,7.4,.496,19.4,,.294
62,Dayton,27,7,20,.259,-6.60,4.29,,0,12,,,,,,,,1800,2093,,,,.385,.275,.478,49.1,52.4,,4.3,.449,21.0,,.233
63,Delaware State,28,7,21,.250,-20.25,-12.33,,3,13,,,,,,,,1938,2136,,,,.365,.211,.483,49.8,48.9,,5.7,.454,19.3,,.225
64,Delaware,27,12,15,.444,-3.52,-3.52,,7,9,,,,,,,,2047,1996,,,,.425,.305,.562,51.7,58.2,,4.6,.518,19.6,,.313
65,DePaul,28,17,11,.607,13.82,6.18,,6,6,,,,,,,,2218,2004,,,,.400,.305,.572,51.1,62.1,,4.7,.538,16.8,,.286
66,Detroit Mercy,28,13,15,.464,-0.60,1.02,,9,5,,,,,,,,1944,1969,,,,.374,.355,.535,53.0,53.9,,6.1,.503,20.8,,.254
67,Drake,27,12,15,.444,-1.15,3.07,,9,9,,,,,,,,1967,2081,,,,.346,.359,.503,46.2,49.1,,11.1,.468,16.0,,.236
68,Drexel NCAA,30,22,8,.733,5.68,-3.69,,12,4,,,,,,,,2262,1981,,,,.428,.316,.541,53.9,60.1,,6.2,.501,17.6,,.299
69,Duke,31,13,18,.419,16.35,11.82,,2,14,,,,,,,,2410,2284,,,,.330,.317,.559,51.3,53.7,,9.4,.536,17.1,,.222
70,Duquesne,28,10,18,.357,0.87,5.87,,5,11,,,,,,,,1908,2049,,,,.360,.301,.487,47.3,47.4,,6.2,.454,19.0,,.232
71,East Carolina,29,18,11,.621,-1.98,-4.90,,7,7,,,,,,,,2132,2015,,,,.368,.271,.546,54.4,58.7,,6.4,.517,19.1,,.248
72,East Tennessee State,28,14,14,.500,-5.95,-3.99,,9,5,,,,,,,,2217,2205,,,,.344,.311,.538,47.9,51.0,,7.9,.517,19.3,,.219
73,Eastern Illinois,29,16,13,.552,-8.65,-9.58,,10,8,,,,,,,,2142,2043,,,,.418,.315,.542,51.6,57.0,,8.0,.513,18.5,,.273
74,Eastern Kentucky,28,9,19,.321,-10.79,-6.07,,6,10,,,,,,,,2009,2141,,,,.350,.269,.513,49.4,42.0,,3.3,.482,16.4,,.234
75,Eastern Michigan,30,20,10,.667,5.48,1.94,,12,6,,,,,,,,2239,2123,,,,.428,.284,.521,52.5,47.1,,8.4,.484,16.1,,.286
76,Eastern Washington,26,6,20,.231,-7.87,0.57,,2,12,,,,,,,,1763,1943,,,,.390,.164,.506,51.4,52.8,,4.8,.460,21.6,,.279
77,Evansville,27,18,9,.667,13.08,-0.22,,11,7,,,,,,,,2078,1719,,,,.440,.291,.590,51.5,65.7,,6.4,.558,17.5,,.310
78,Fairfield,28,13,15,.464,-4.85,-3.43,,6,8,,,,,,,,1921,1961,,,,.369,.315,.558,47.8,60.3,,6.8,.531,19.4,,.249
79,Fairleigh Dickinson,28,16,12,.571,-9.20,-8.34,,11,7,,,,,,,,2058,2082,,,,.497,.258,.517,51.8,43.7,,6.1,.472,19.8,,.333
80,Florida A&M,27,5,22,.185,-24.53,-8.27,,2,14,,,,,,,,1943,2313,,,,.370,.260,.479,47.5,44.5,,7.6,.443,18.9,,.242
81,Florida Atlantic,27,9,18,.333,-14.99,-2.63,,0,0,,,,,,,,1702,1987,,,,.345,.201,.474,47.6,46.7,,8.4,.442,20.8,,.219
82,Florida International NCAA,30,11,19,.367,-10.49,-5.35,,4,12,,,,,,,,2018,2172,,,,.380,.222,.498,49.1,54.4,,4.8,.465,19.6,,.247
83,Florida State,27,12,15,.444,13.05,12.54,,5,11,,,,,,,,2027,2013,,,,.289,.350,.531,51.8,51.8,,14.0,.507,18.7,,.194
84,Florida NCAA,30,17,13,.567,15.40,11.37,,8,8,,,,,,,,2178,2057,,,,.435,.220,.537,54.5,54.5,,8.3,.492,18.8,,.311
85,Fordham,28,11,17,.393,-10.66,-7.35,,6,8,,,,,,,,1842,1905,,,,.446,.164,.509,50.2,55.6,,6.2,.467,18.6,,.300
86,Fresno State,28,13,15,.464,2.29,3.55,,7,11,,,,,,,,2000,2007,,,,.346,.366,.553,47.6,59.9,,8.7,.526,18.5,,.234
87,Furman,27,10,17,.370,-8.52,-4.98,,6,8,,,,,,,,1820,1862,,,,.288,.338,.513,49.6,54.5,,6.8,.488,18.4,,.190
88,George Mason,27,7,20,.259,-12.85,-1.70,,2,12,,,,,,,,2499,2748,,,,.282,.258,.503,47.2,46.2,,5.7,.476,16.7,,.188
89,George Washington,32,18,14,.563,6.84,6.87,,10,6,,,,,,,,2407,2408,,,,.438,.265,.530,50.0,56.7,,11.1,.493,17.3,,.294
90,Georgetown NCAA,31,21,10,.677,12.76,6.53,,11,7,,,,,,,,2340,2147,,,,.439,.261,.510,51.3,45.3,,12.5,.473,19.5,,.285
91,Georgia Southern,28,8,20,.286,-15.27,-3.93,,3,11,,,,,,,,1892,2095,,,,.265,.293,.497,50.1,50.8,,4.4,.471,20.1,,.177
92,Georgia State,28,11,17,.393,-13.02,-7.28,,6,10,,,,,,,,2037,2179,,,,.389,.165,.490,50.1,45.9,,6.8,.453,18.4,,.255
93,Georgia Tech,30,18,12,.600,15.01,9.15,,8,8,,,,,,,,2400,2224,,,,.325,.275,.553,49.2,60.1,,9.0,.522,15.5,,.234
94,Georgia,28,18,10,.643,14.29,6.04,,9,7,,,,,,,,2175,1944,,,,.391,.258,.534,53.4,57.2,,13.0,.506,17.3,,.252
95,Gonzaga NCAA,30,21,9,.700,8.57,-0.21,,7,7,,,,,,,,2296,1984,,,,.486,.364,.592,51.0,51.6,,7.4,.558,16.8,,.342
96,Grambling,28,11,17,.393,-19.69,-10.85,,5,9,,,,,,,,2250,2391,,,,.365,.285,.512,46.8,56.2,,4.9,.490,18.3,,.221
97,Green Bay NCAA,30,22,8,.733,4.78,-1.35,,11,4,,,,,,,,1951,1767,,,,.388,.318,.580,49.3,73.6,,5.7,.544,17.6,,.285
98,Hartford,27,11,16,.407,-5.72,-2.72,,7,9,,,,,,,,1893,1974,,,,.346,.181,.485,50.7,55.7,,8.0,.451,18.2,,.228
99,Harvard,26,6,20,.231,-14.29,-9.13,,4,10,,,,,,,,1738,1847,,,,.290,.273,.483,50.2,52.1,,4.0,.456,20.4,,.187
100,Hawaii,29,16,13,.552,7.76,6.91,,8,10,,,,,,,,2033,1998,,,,.375,.269,.528,48.9,59.1,,9.5,.498,17.8,,.248
