,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
19,Ball State,27,16,11,.593,1.32,1.84,,10,8,,,,,,,,1798,1760,,,97.1,.377,.280,.493,49.8,50.6,11.3,7.6,.457,17.1,33.8,.246
20,Baylor,30,6,24,.200,-5.53,3.58,,0,16,,,,,,,,1846,2099,,,87.6,.353,.332,.464,48.8,47.8,10.3,9.2,.426,20.7,33.2,.232
21,Bethune-Cookman,27,11,16,.407,-12.36,-9.06,,10,9,,,,,,,,1791,1879,,,94.5,.417,.254,.519,47.8,57.6,11.3,6.5,.477,21.0,31.6,.289
22,Boise State,29,21,8,.724,2.83,-3.28,,12,4,,,,,,,,1987,1790,,,102.6,.430,.317,.558,50.3,56.7,14.3,9.6,.520,20.9,36.1,.305
23,Boston College,27,6,21,.222,-1.24,7.76,,3,15,,,,,,,,1689,1932,,,89.4,.288,.304,.488,44.9,50.5,13.8,6.8,.460,21.1,32.2,.191
24,Boston University,27,9,18,.333,-9.37,-6.11,,5,13,,,,,,,,1736,1822,,,92.7,.385,.327,.497,49.6,63.0,9.9,5.6,.466,20.3,32.2,.243
25,Bowling Green State,28,18,10,.643,6.83,2.36,,12,6,,,,,,,,1980,1824,,,101.6,.426,.270,.547,51.0,55.0,12.9,8.4,.503,19.0,31.0,.309
26,Bradley,29,17,12,.586,6.82,5.13,,11,7,,,,,,,,1824,1775,,,95.7,.422,.326,.529,50.4,54.7,13.1,11.2,.489,22.1,34.0,.292
27,Brigham Young,28,12,16,.429,2.50,4.14,,6,8,,,,,,,,2009,2055,,,99.3,.455,.319,.555,51.1,53.5,9.3,8.0,.510,21.1,31.1,.330
28,Brown,26,4,22,.154,-19.23,-7.50,,2,12,,,,,,,,1578,1883,,,92.4,.331,.330,.505,45.9,53.1,8.7,4.8,.460,19.4,27.7,.248
29,Bucknell,29,16,13,.552,-5.44,-7.96,,9,3,,,,,,,,1939,1779,,,97.1,.420,.334,.529,51.5,60.8,12.0,11.2,.494,21.7,34.3,.281
30,Buffalo,29,5,24,.172,-15.10,0.47,,1,17,,,,,,,,1709,2141,,,82.5,.319,.324,.453,46.6,61.7,9.2,7.8,.415,22.7,32.6,.214
31,Butler,32,22,10,.688,5.02,1.38,,11,3,,,,,,,,2032,1921,,,97.5,.489,.242,.526,51.5,63.8,11.1,5.6,.479,19.5,31.8,.337
32,Cal Poly,27,11,16,.407,-7.09,-3.93,,6,10,,,,,,,,2293,2298,,,106.5,.355,.402,.545,47.1,52.4,10.3,4.7,.507,16.6,34.0,.260
33,Cal State Fullerton,27,13,14,.481,-8.02,-2.75,,7,9,,,,,,,,1891,1998,,,98.3,.431,.307,.523,49.6,56.2,9.4,7.5,.485,19.9,34.0,.290
34,Cal State Northridge,29,17,12,.586,0.73,-1.64,,9,7,,,,,,,,2378,2235,,,103.9,.384,.312,.550,50.4,60.2,13.5,6.8,.524,19.7,36.6,.254
35,UC Irvine,26,6,20,.231,-8.45,-1.66,,2,14,,,,,,,,1692,1821,,,94.7,.353,.355,.533,46.3,58.6,9.7,6.7,.500,21.5,27.1,.247
36,UC Santa Barbara,28,15,13,.536,-2.78,-3.20,,12,4,,,,,,,,1971,1942,,,99.0,.335,.232,.509,52.1,61.4,11.9,5.4,.483,18.3,37.1,.215
37,California,33,22,11,.667,12.05,7.84,,8,10,,,,,,,,2406,2267,,,99.5,.410,.188,.501,48.5,48.2,11.5,9.1,.461,15.9,34.5,.275
38,Campbell,27,9,18,.333,-16.19,-7.55,,6,10,,,,,,,,1721,1934,,,94.7,.287,.364,.519,48.0,60.5,8.5,7.8,.495,21.8,33.6,.191
39,Canisius,27,15,12,.556,-7.05,-4.79,,11,7,,,,,,,,1918,1979,,,103.0,.421,.260,.540,48.5,63.3,8.8,7.3,.500,19.4,37.3,.295
40,Centenary (LA),28,14,14,.500,-10.58,-6.99,,9,7,,,,,,,,1765,1853,,,,.437,.282,.521,48.5,48.4,,6.8,.479,19.7,,.300
41,Central Connecticut State,32,19,13,.594,-7.44,-10.47,,11,9,,,,,,,,2263,2182,,,101.1,.406,.208,.517,52.2,52.8,12.5,10.7,.480,19.2,40.2,.273
42,Central Florida,29,19,10,.655,-2.12,-5.20,,13,3,,,,,,,,2107,2009,,,103.6,.344,.311,.552,52.1,55.0,10.0,8.6,.521,20.8,39.4,.243
43,Central Michigan,26,10,16,.385,-3.17,0.55,,7,11,,,,,,,,1824,1879,,,96.6,.456,.283,.528,48.0,56.0,10.1,7.8,.482,20.1,30.3,.321
44,Charleston Southern,28,12,16,.429,-14.36,-7.89,,4,6,,,,,,,,2022,2149,,,96.5,.467,.227,.541,48.9,50.2,12.9,9.5,.498,22.2,33.6,.325
45,Charlotte NCAA,34,23,11,.676,11.29,7.60,,10,6,,,,,,,,2336,2221,,,103.4,.390,.353,.518,50.8,54.5,10.7,7.8,.483,17.0,37.7,.262
46,Chattanooga,28,16,12,.571,-4.28,-5.78,,9,7,,,,,,,,1898,1820,,,102.2,.369,.301,.523,51.7,55.4,10.1,9.4,.488,18.9,38.5,.253
47,Chicago State,27,3,24,.111,-21.54,-0.42,,3,11,,,,,,,,1475,2026,,,79.6,.221,.334,.419,44.8,54.2,11.2,7.3,.395,20.1,32.0,.136
48,Cincinnati NCAA,33,27,6,.818,20.13,7.88,,12,4,,,,,,,,2440,2020,,,107.8,.379,.265,.539,54.5,52.2,11.3,11.7,.507,17.4,42.7,.257
49,The Citadel,27,9,18,.333,-18.10,-7.23,,3,13,,,,,,,,1693,1821,,,92.5,.355,.361,.513,47.4,56.1,10.9,7.5,.488,21.8,30.8,.222
50,Clemson,35,20,15,.571,13.41,6.56,,5,11,,,,,,,,2508,2263,,,106.9,.440,.348,.543,56.0,60.1,9.7,10.1,.520,18.8,41.0,.273
51,Cleveland State,28,14,14,.500,-1.74,0.26,,6,8,,,,,,,,1978,1996,,,100.0,.449,.264,.525,52.9,51.6,11.1,7.3,.492,20.9,45.7,.289
52,Coastal Carolina,27,7,20,.259,-20.39,-8.34,,4,6,,,,,,,,1935,2169,,,95.9,.322,.325,.518,47.1,49.6,11.4,4.3,.486,21.6,36.2,.222
53,Colgate,28,14,14,.500,-8.19,-7.33,,7,5,,,,,,,,1826,1799,,,94.1,.434,.218,.511,50.9,52.1,12.2,5.4,.478,21.3,34.6,.277
54,College of Charleston NCAA,31,28,3,.903,5.98,-6.63,,16,0,,,,,,,,2258,1834,,,109.1,.381,.224,.562,54.8,52.4,13.7,17.0,.529,18.2,40.1,.269
55,Colorado State,30,19,11,.633,8.68,3.06,,7,7,,,,,,,,2168,1991,,,104.3,.429,.327,.541,48.6,53.1,11.5,10.3,.509,17.1,31.5,.286
56,Colorado,33,18,15,.545,7.25,4.96,,7,9,,,,,,,,2411,2257,,,98.8,.383,.312,.504,49.2,57.4,11.5,9.7,.468,16.9,32.0,.254
57,Columbia,26,10,16,.385,-14.77,-6.89,,5,9,,,,,,,,1520,1692,,,90.4,.390,.354,.501,45.0,57.6,14.0,5.2,.472,19.7,25.5,.245
58,Connecticut NCAA,36,34,2,.944,24.73,8.79,,16,2,,,,,,,,2781,2207,,,109.4,.411,.240,.551,54.9,55.9,11.3,9.6,.508,17.2,41.1,.301
59,Coppin State,29,15,14,.517,-6.87,-6.97,,14,4,,,,,,,,1992,1989,,,97.1,.428,.359,.503,49.8,52.3,11.3,7.6,.454,19.4,36.4,.302
60,Cornell,26,11,15,.423,-9.95,-7.83,,6,8,,,,,,,,1667,1710,,,96.5,.332,.306,.504,53.1,50.5,9.9,11.5,.479,19.8,36.0,.209
61,Creighton NCAA,31,22,9,.710,12.26,4.87,,11,7,,,,,,,,2357,2128,,,109.2,.415,.352,.560,54.3,56.4,13.3,8.7,.522,18.5,39.7,.297
62,Dartmouth,26,14,12,.538,-10.06,-7.22,,10,4,,,,,,,,1673,1727,,,96.4,.345,.364,.519,49.9,58.3,8.6,8.9,.483,20.0,30.7,.243
63,Davidson,27,16,11,.593,-1.47,-5.63,,11,5,,,,,,,,2058,1844,,,106.0,.368,.337,.550,53.2,61.2,12.6,7.2,.524,19.4,38.6,.244
64,Dayton,28,11,17,.393,5.26,5.47,,5,11,,,,,,,,1900,1906,,,97.0,.386,.331,.498,49.4,55.7,10.4,6.7,.449,18.8,36.1,.281
65,Delaware State,27,8,19,.296,-20.11,-11.88,,5,13,,,,,,,,2007,2203,,,97.8,.412,.343,.527,47.3,47.2,10.3,8.0,.483,21.6,36.9,.284
66,Delaware NCAA,31,25,6,.806,1.60,-7.92,,15,3,,,,,,,,2394,2099,,,106.0,.409,.313,.565,49.5,54.3,10.4,10.2,.526,17.7,30.0,.297
67,Denver,27,10,17,.370,-10.09,-4.12,,,,,,,,,,,1988,2149,,,97.4,.305,.336,.514,48.0,57.4,6.3,7.9,.477,17.6,28.4,.222
68,DePaul,31,18,13,.581,9.21,8.02,,10,6,,,,,,,,2253,2216,,,104.5,.353,.293,.508,53.4,49.4,11.5,4.0,.475,17.5,43.7,.238
69,Detroit Mercy NCAA,31,25,6,.806,8.10,-0.17,,12,2,,,,,,,,1966,1713,,,104.6,.357,.349,.542,51.1,57.9,10.1,8.1,.500,17.6,34.2,.268
70,Drake,27,10,17,.370,-1.89,5.23,,5,13,,,,,,,,1758,1915,,,93.3,.383,.415,.507,49.3,63.1,12.0,3.3,.468,21.2,31.7,.263
71,Drexel,29,20,9,.690,-1.64,-6.78,,15,3,,,,,,,,2036,1887,,,103.2,.363,.305,.521,51.3,57.8,8.1,5.2,.492,16.6,33.0,.239
72,Duke NCAA,39,37,2,.949,34.79,10.12,,16,0,,,,,,,,3581,2619,,,121.3,.469,.305,.605,55.8,50.9,11.8,13.2,.574,16.2,44.3,.330
73,Duquesne,28,5,23,.179,-7.30,4.58,,1,15,,,,,,,,1733,2018,,,88.4,.430,.303,.455,50.0,45.9,9.6,10.4,.410,19.0,35.6,.276
74,East Carolina,27,13,14,.481,-3.47,-2.59,,7,9,,,,,,,,1707,1720,,,97.5,.368,.315,.513,50.4,60.0,7.9,9.9,.482,19.5,34.3,.241
75,East Tennessee State,28,17,11,.607,-6.66,-6.42,,9,7,,,,,,,,2027,1937,,,104.2,.436,.242,.542,54.0,58.3,10.2,4.0,.512,19.3,39.7,.285
76,Eastern Illinois,29,13,16,.448,-6.90,-3.83,,8,10,,,,,,,,2073,2133,,,102.3,.303,.334,.523,49.1,59.5,11.0,6.4,.495,17.4,35.3,.208
77,Eastern Kentucky,26,3,23,.115,-19.17,-3.01,,2,16,,,,,,,,1702,2104,,,89.3,.305,.306,.478,46.3,50.2,8.8,5.7,.449,20.0,31.1,.198
78,Eastern Michigan,25,5,20,.200,-5.79,4.17,,5,13,,,,,,,,1490,1739,,,86.3,.339,.281,.462,50.9,49.4,11.8,11.4,.434,22.9,37.7,.205
79,Eastern Washington,27,10,17,.370,-5.30,-0.62,,7,9,,,,,,,,1991,2071,,,98.9,.301,.386,.518,47.7,56.2,11.2,7.4,.496,17.5,30.0,.191
80,Evansville NCAA,33,23,10,.697,5.90,3.74,,13,5,,,,,,,,2502,2369,,,108.2,.384,.324,.609,49.9,64.6,9.0,4.7,.571,20.2,28.2,.296
81,Fairfield,27,12,15,.444,-4.70,-1.77,,7,11,,,,,,,,2111,2190,,,96.8,.481,.331,.501,49.4,50.8,12.9,7.5,.473,20.0,38.3,.286
82,Fairleigh Dickinson,28,12,16,.429,-8.53,-6.75,,9,11,,,,,,,,1843,1870,,,95.6,.463,.353,.519,55.3,56.4,10.9,11.7,.487,23.8,42.6,.293
83,Florida A&M NCAA,31,12,19,.387,-14.60,-9.76,,8,11,,,,,,,,2252,2402,,,93.1,.456,.267,.466,51.6,41.1,12.6,7.2,.425,19.3,40.5,.285
84,Florida Atlantic,26,6,20,.231,-15.89,-4.85,,3,13,,,,,,,,1875,2143,,,95.9,.405,.385,.511,44.3,52.6,13.9,4.2,.471,19.0,31.1,.277
85,Florida International,29,13,16,.448,0.84,0.91,,7,7,,,,,,,,2011,2013,,,100.9,.365,.374,.550,49.4,58.3,10.9,5.7,.523,20.6,33.0,.246
86,Florida State,30,13,17,.433,8.52,11.97,,5,11,,,,,,,,2118,2200,,,99.3,.361,.305,.525,47.4,58.4,12.4,7.8,.496,19.0,34.2,.238
87,Florida NCAA,31,22,9,.710,15.76,5.70,,10,6,,,,,,,,2488,2176,,,107.1,.433,.433,.587,50.7,59.5,13.4,9.6,.555,20.8,34.5,.304
88,Fordham,27,12,15,.444,-1.58,1.94,,5,11,,,,,,,,1784,1879,,,97.6,.404,.327,.506,49.4,55.3,11.9,5.3,.462,19.0,36.7,.281
89,Fresno State,33,21,12,.636,7.48,3.54,,9,5,,,,,,,,2635,2505,,,104.8,.305,.352,.541,46.9,61.2,12.9,11.2,.519,16.7,33.3,.199
90,Furman,28,12,16,.429,-9.96,-6.46,,5,11,,,,,,,,1878,1942,,,95.2,.497,.309,.522,51.6,57.7,9.1,5.8,.479,22.2,34.3,.332
91,George Mason NCAA,30,19,11,.633,4.57,-0.88,,13,3,,,,,,,,2214,2031,,,103.6,.330,.300,.528,49.4,48.2,14.2,11.6,.509,17.5,36.8,.202
92,George Washington NCAA,29,20,9,.690,11.06,5.54,,13,3,,,,,,,,2305,2145,,,104.6,.372,.300,.505,50.2,55.2,13.9,7.4,.459,15.5,39.8,.269
93,Georgetown,31,15,16,.484,8.15,6.35,,6,12,,,,,,,,2137,2057,,,93.8,.370,.255,.465,53.3,49.8,15.0,14.7,.427,19.6,42.9,.239
94,Georgia Southern,28,11,17,.393,-11.58,-6.71,,6,10,,,,,,,,1793,1862,,,94.8,.344,.382,.507,52.7,54.7,8.4,7.4,.472,22.3,39.5,.235
95,Georgia State,30,17,13,.567,-4.37,-7.54,,11,5,,,,,,,,2199,2089,,,104.5,.398,.287,.541,53.1,49.0,11.5,10.4,.502,19.6,41.3,.282
96,Georgia Tech,31,15,16,.484,4.50,9.37,,6,10,,,,,,,,2087,2238,,,92.7,.374,.374,.500,48.4,58.1,8.4,11.7,.473,20.4,32.7,.233
97,Georgia,30,15,15,.500,8.26,7.26,,6,10,,,,,,,,2148,2118,,,104.5,.329,.376,.534,49.3,54.2,9.2,6.2,.504,16.9,35.2,.226
98,Gonzaga NCAA,35,28,7,.800,15.03,2.21,,12,2,,,,,,,,2743,2280,,,112.2,.380,.364,.580,52.5,60.2,11.8,9.2,.547,17.5,36.5,.275
99,Grambling,27,6,21,.222,-20.28,-9.92,,5,11,,,,,,,,1860,2119,,,91.7,.412,.217,.499,47.5,48.5,11.0,7.4,.456,22.0,36.0,.280
100,Green Bay,31,20,11,.645,3.97,-1.06,,9,5,,,,,,,,1922,1736,,,104.8,.360,.362,.571,47.4,66.2,10.1,6.1,.543,18.7,28.1,.251
101,Hampton,27,8,19,.296,-14.36,-9.62,,8,10,,,,,,,,1872,2002,,,96.0,.406,.275,.520,52.1,55.2,8.1,13.1,.479,21.5,37.4,.285
102,Hartford,27,11,16,.407,-13.22,-5.81,,9,9,,,,,,,,1853,2053,,,92.3,.454,.261,.521,47.5,50.1,11.8,5.0,.472,22.4,30.2,.321
103,Harvard,26,13,13,.500,-8.20,-8.40,,7,7,,,,,,,,1828,1808,,,102.6,.291,.318,.528,47.1,54.4,10.9,8.5,.494,16.6,31.2,.214
104,Hawaii,26,6,20,.231,-4.28,3.77,,3,11,,,,,,,,1659,1853,,,93.9,.316,.205,.521,47.1,58.0,9.7,10.7,.494,22.8,35.9,.209
105,Hofstra,32,22,10,.688,1.11,-4.06,,14,4,,,,,,,,2132,1933,,,101.2,.365,.301,.528,53.2,55.0,10.5,10.9,.494,18.7,34.5,.251
106,Holy Cross,27,7,20,.259,-17.49,-7.34,,3,9,,,,,,,,1543,1809,,66.3,86.2,.361,.307,.483,47.8,57.0,11.2,7.6,.449,22.2,29.6,.235
107,Houston,27,10,17,.370,-2.39,5.53,,5,11,,,,,,,,1914,2128,,,94.6,.385,.270,.495,48.4,43.2,8.6,8.1,.458,20.1,36.7,.254
108,Howard,27,2,25,.074,-25.66,-9.15,,2,16,,,,,,,,1643,2091,,,83.5,.403,.299,.469,44.6,56.6,9.7,2.0,.426,24.1,32.4,.265
109,Idaho State,26,6,20,.231,-11.37,-1.01,,4,12,,,,,,,,1669,1903,,,92.7,.359,.225,.489,49.7,56.6,8.2,6.0,.462,19.5,33.8,.220
110,Idaho,27,16,11,.593,0.10,-1.91,,11,5,,,,,,,,1979,1895,,,102.6,.394,.339,.526,50.0,53.3,12.2,5.2,.487,18.1,36.4,.274
111,Illinois-Chicago,28,7,21,.250,-6.88,1.55,,2,12,,,,,,,,1633,1869,,,87.3,.390,.262,.457,49.4,56.5,10.5,3.8,.407,20.0,34.4,.270
112,Illinois State,31,16,15,.516,5.80,4.73,,7,11,,,,,,,,2141,2110,,,100.8,.403,.273,.552,49.2,60.6,10.6,9.9,.509,20.3,31.0,.296
113,Illinois,32,14,18,.438,10.60,11.88,,3,13,,,,,,,,1967,2008,,,90.1,.334,.266,.474,52.2,53.3,12.3,9.7,.440,21.4,39.4,.219
114,Indiana State,27,15,12,.556,7.92,3.96,,10,8,,,,,,,,1867,1760,,,101.3,.365,.307,.522,50.2,56.8,12.3,9.7,.490,17.0,31.8,.245
115,Indiana NCAA,34,23,11,.676,17.21,11.35,,9,7,,,,,,,,2565,2366,,,104.1,.385,.272,.552,48.9,61.1,10.5,7.9,.518,17.9,31.7,.269
116,Iona,30,16,14,.533,-1.96,-3.24,,12,6,,,,,,,,2287,2230,,,99.2,.404,.260,.517,51.2,62.0,10.5,15.5,.484,19.2,37.1,.264
117,Iowa State,30,15,15,.500,5.46,5.74,,6,10,,,,,,,,1886,1825,,,98.3,.378,.255,.506,52.5,53.3,9.1,6.9,.464,17.2,33.3,.265
118,Iowa NCAA,30,20,10,.667,15.37,11.44,,9,7,,,,,,,,2217,2099,,,105.3,.487,.315,.562,52.9,61.4,12.7,7.4,.521,21.2,40.5,.341
119,IUPUI,27,11,16,.407,-9.72,-4.95,,6,8,,,,,,,,1834,1888,,,98.5,.397,.273,.517,47.2,49.4,11.4,5.0,.479,18.4,32.7,.271
120,Jackson State,28,16,12,.571,-12.28,-9.28,,11,5,,,,,,,,1926,1939,,,92.3,.435,.264,.482,51.1,57.0,9.7,10.6,.454,20.7,38.4,.257
121,Jacksonville State,26,8,18,.308,-17.35,-8.14,,3,13,,,,,,,,1647,1837,,,90.5,.340,.307,.490,48.8,53.0,9.6,6.1,.461,20.8,32.7,.217
122,Jacksonville,27,12,15,.444,-11.67,-8.17,,7,9,,,,,,,,1771,1820,,,91.9,.366,.294,.505,47.2,53.3,13.1,7.9,.467,21.5,32.3,.252
123,James Madison,27,16,11,.593,0.99,-4.56,,9,7,,,,,,,,1937,1785,,,104.1,.403,.339,.522,51.0,49.3,8.1,7.8,.488,16.2,35.7,.268
124,Kansas State,33,20,13,.606,10.31,5.47,,7,9,,,,,,,,2284,2113,,,98.5,.411,.266,.512,55.2,59.4,9.1,11.0,.476,19.5,38.2,.271
125,Kansas NCAA,33,23,10,.697,16.30,9.17,,11,5,,,,,,,,2380,2128,,70.4,101.6,.363,.248,.520,52.5,59.6,11.3,10.6,.490,18.4,37.6,.239
126,Kent State NCAA,30,23,7,.767,7.22,2.72,,13,5,,,,,,,,2156,1905,,,104.1,.353,.277,.526,50.8,59.0,13.3,8.1,.494,16.9,36.2,.242
127,Kentucky NCAA,37,28,9,.757,22.71,10.01,,11,5,,,,,,,,2790,2320,,,109.1,.359,.313,.551,54.1,58.5,11.2,14.2,.530,17.8,41.3,.229
128,La Salle,28,13,15,.464,-0.41,1.92,,8,8,,,,,,,,2023,2088,,,101.6,.351,.379,.523,47.2,53.4,7.0,8.5,.490,17.9,34.2,.239
129,Lafayette NCAA,30,22,8,.733,-2.78,-7.32,,10,2,,,,,,,,2167,1987,,,102.2,.445,.427,.545,49.0,65.5,12.1,11.0,.504,18.3,30.3,.313
130,Lamar,28,17,11,.607,-5.85,-9.73,,11,7,,,,,,,,2144,1979,,,102.5,.435,.292,.535,54.8,54.1,9.1,4.8,.484,20.1,40.2,.321
131,Lehigh,28,6,22,.214,-20.10,-7.71,,0,12,,,,,,,,1765,2025,,,89.5,.414,.226,.482,49.3,59.6,9.2,4.6,.437,20.9,33.0,.281
132,Liberty,27,4,23,.148,-24.50,-7.10,,0,10,,,,,,,,1960,2259,,,95.7,.344,.273,.522,47.1,53.9,13.1,4.2,.491,21.3,33.9,.232
133,Long Beach State,28,13,15,.464,-4.99,-0.88,,9,7,,,,,,,,1865,1973,,,95.0,.343,.277,.511,48.7,48.0,10.3,8.8,.484,20.0,32.1,.219
134,Long Island University,27,10,17,.370,-11.62,-6.69,,10,10,,,,,,,,1828,1961,,,91.4,.302,.227,.475,49.6,45.8,12.2,7.8,.458,19.6,35.1,.172
135,Louisiana,29,13,16,.448,-1.45,-0.52,,7,7,,,,,,,,1951,1993,,,95.2,.446,.284,.476,52.8,48.3,9.4,7.3,.444,18.7,40.3,.266
136,Louisiana-Monroe,27,13,14,.481,-10.13,-5.02,,12,6,,,,,,,,1954,2059,,,90.3,.374,.320,.496,48.2,51.1,11.2,10.8,.466,21.8,35.9,.236
137,Louisiana State,27,12,15,.444,2.71,6.06,,4,12,,,,,,,,1793,1861,,,92.6,.414,.309,.513,53.0,59.5,9.8,8.8,.480,23.4,36.9,.266
138,Louisiana Tech,28,19,9,.679,1.89,-3.47,,10,4,,,,,,,,2133,1984,,,105.6,.311,.341,.552,49.1,52.6,12.1,7.5,.520,18.0,33.5,.227
139,Louisville NCAA,30,19,11,.633,15.38,8.28,,11,5,,,,,,,,2306,2093,,,105.9,.351,.316,.552,48.7,59.6,12.9,11.5,.525,19.3,37.9,.238
140,Loyola (IL),27,9,18,.333,-6.47,-0.09,,7,7,,,,,,,,1644,1811,,,92.9,.323,.302,.482,49.1,59.2,10.3,5.4,.452,19.2,34.4,.208
141,Loyola Marymount,27,11,16,.407,-5.24,1.80,,6,8,,,,,,,,2054,2197,,,101.2,.366,.377,.529,46.7,55.8,9.6,9.3,.485,18.3,33.2,.268
142,Loyola (MD),28,13,15,.464,-4.63,-5.49,,6,12,,,,,,,,2165,2141,,,102.4,.406,.257,.553,52.2,56.1,10.8,7.2,.527,21.3,38.6,.264
143,Maine,28,19,9,.679,-1.78,-8.11,,13,5,,,,,,,,2257,2063,,,105.9,.346,.347,.568,48.7,56.1,14.1,7.1,.533,18.9,32.6,.256
144,Manhattan,27,5,22,.185,-13.50,-6.24,,3,15,,,,,,,,1688,1884,,,89.4,.477,.247,.498,51.2,61.4,9.7,7.8,.459,23.8,35.7,.302
145,Marist,28,16,12,.571,-4.04,-5.57,,8,10,,,,,,,,2033,1990,,,104.1,.401,.220,.526,48.1,58.5,12.3,10.4,.492,16.3,35.1,.266
146,Marquette,29,14,15,.483,5.19,4.98,,6,10,,,,,,,,1823,1817,,,93.7,.354,.326,.490,51.7,54.0,10.5,9.2,.455,20.2,37.8,.234
147,Marshall,27,16,11,.593,4.71,0.51,,11,7,,,,,,,,2075,1906,,71.0,107.2,.329,.299,.542,50.3,55.5,10.8,10.1,.512,17.0,36.5,.229
148,Maryland-Baltimore County,28,19,9,.679,-4.41,-8.20,,17,3,,,,,,,,1887,1781,,,101.9,.414,.293,.537,51.5,60.6,11.1,8.2,.504,21.7,36.9,.277
149,Maryland-Eastern Shore,27,10,17,.370,-13.55,-11.00,,7,11,,,,,,,,1909,1978,,,99.4,.379,.254,.508,50.1,42.7,10.2,5.6,.476,18.2,37.3,.247
150,Maryland NCAA,34,28,6,.824,26.13,9.04,,13,3,,,,,,,,2873,2259,,,109.8,.407,.239,.571,52.6,64.6,16.5,15.7,.539,18.4,38.6,.285
151,Massachusetts,30,14,16,.467,6.47,6.04,,9,7,,,,,,,,1929,1916,,,101.0,.355,.250,.488,50.5,52.0,8.7,12.5,.464,15.8,37.5,.213
